Towards IN O
trans-diagnostic NNS O
mechanisms NNS O
in IN O
psychiatry NN O
: : O
neurobehavioral JJ O
profile NN O
of IN O
rats NNS O
with IN O
a DT O
loss-of-function NN O
point NN O
mutation NN O
in IN O
the DT O
dopamine NN O
transporter NN O
gene NN O
. . O

The DT O
research NN O
domain NN O
criteria NNS O
( -LRB- O
RDoC NN O
) -RRB- O
matrix NN O
has VBZ O
been VBN O
developed VBN O
to TO O
reorient VB O
psychiatric JJ O
research NN O
towards IN O
measurable JJ O
behavioral JJ O
dimensions NNS O
and CC O
underlying JJ O
mechanisms NNS O
. . O

Here RB O
, , O
we PRP O
used VBD O
a DT O
new JJ O
genetic JJ O
rat NN O
model NN O
with IN O
a DT O
loss-of-function NN O
point NN O
mutation NN O
in IN O
the DT O
dopamine NN O
transporter NN O
( -LRB- O
DAT NNP O
) -RRB- O
gene NN O
( -LRB- O
Slc6a3_N157 NN O
K NNP O
) -RRB- O
to TO O
systematically RB O
study VB O
the DT O
RDoC NN O
matrix NN O
. . O

First RB O
, , O
we PRP O
examined VBD O
the DT O
impact NN O
of IN O
the DT O
Slc6a3_N157 NN O
K NNP O
mutation NN O
on IN O
monoaminergic NN O
signaling NN O
. . O

We PRP O
then RB O
performed VBD O
behavioral JJ O
tests NNS O
representing VBG O
each DT O
of IN O
the DT O
five CD O
RDoC NN O
domains NNS O
: : O
negative JJ O
and CC O
positive JJ O
valence NN O
systems NNS O
, , O
cognitive JJ O
, , O
social JJ O
and CC O
arousal NN O
/ SYM O
regulatory JJ O
systems NNS O
. . O

The DT O
use NN O
of IN O
RDoC NN O
may MD O
be VB O
particularly RB O
helpful JJ O
for IN O
drug NN O
development NN O
. . O

We PRP O
studied VBD O
the DT O
effects NNS O
of IN O
a DT O
novel JJ O
pharmacological JJ O
approach NN O
metabotropic JJ O
glutamate JJ O
receptor NN O
mGluR2/3 VBD O
antagonism NN O
, , O
in IN O
DAT NNP O
mutants NNS O
in IN O
a DT O
comparative JJ O
way NN O
with IN O
standard JJ O
medications NNS O
. . O

Loss NN B-NegReg
of IN O
DAT NNP B-Gene
functionality NN O
in IN O
mutant JJ B-Var
rats NNS O
not RB O
only RB O
elevated JJ B-PosReg
subcortical JJ B-MPA
extracellular JJ I-MPA
dopamine NN I-MPA
concentration NN I-MPA
but CC O
also RB O
altered VBD B-Reg
the DT O
balance NN B-MPA
of IN I-MPA
monoaminergic JJ I-MPA
transmission NN I-MPA
