A DT O
disulfide NN O
bond NN O
A-like NN O
oxidoreductase NN O
is VBZ O
a DT O
strong JJ O
candidate NN O
gene NN O
for IN O
self-incompatibility NN O
in IN O
apricot NN O
( -LRB- O
Prunus NNP O
armeniaca NNP O
) -RRB- O
pollen NN O
. . O

S-RNase NNP O
based VBD O
gametophytic JJ O
self-incompatibility NN O
( -LRB- O
SI NNP O
) -RRB- O
is VBZ O
a DT O
widespread JJ O
prezygotic JJ O
reproductive JJ O
barrier NN O
in IN O
flowering VBG O
plants NNS O
. . O

In IN O
the DT O
Solanaceae NNP O
, , O
Plantaginaceae NNP O
and CC O
Rosaceae NNP O
gametophytic JJ O
SI NN O
is VBZ O
controlled VBN O
by IN O
the DT O
pistil-specific VBN O
S-RNases NNP O
and CC O
the DT O
pollen NN O
S-locus NNP O
F-box NNP O
proteins NNS O
but CC O
non-S-specific AFX O
factors NNS O
, , O
namely RB O
modifiers NNS O
, , O
are VBP O
also RB O
required VBN O
. . O

In IN O
apricot NN O
, , O
Prunus NNP O
armeniaca NNP O
( -LRB- O
Rosaceae NNP O
) -RRB- O
, , O
we PRP O
previously RB O
mapped VBD O
two CD O
pollen-part NN O
mutations NNS B-Var
that WDT O
confer VBP B-Reg
self-compatibility NN B-MPA
in IN O
cultivars NNS O
Canino NNP O
and CC O
Katy NNP O
at IN O
the DT O
distal JJ O
end NN O
of IN O
chromosome NN O
3 CD O
( -LRB- O
M-locus CD O
) -RRB- O
unlinked JJ O
to IN O
the DT O
S-locus NNP O
. . O

Here RB O
, , O
we PRP O
used VBD O
high-resolution JJ O
mapping NN O
to TO O
identify VB O
the DT O
M-locus NNP O
with IN O
an DT O
~134 NN O
kb FW O
segment NN O
containing VBG O
ParM-1-16 NN O
genes NNS O
. . O

Gene NN O
expression NN O
analysis NN O
identified VBD O
four CD O
genes NNS O
preferentially RB O
expressed VBD O
in IN O
anthers NNS O
as IN O
modifier JJR O
gene NN O
candidates NNS O
, , O
ParM-6 NNP O
, , O
-7 JJ O
, , O
-9 : O
and CC O
-14 NN O
. . O

Variant JJ O
calling VBG O
of IN O
WGS NNP O
Illumina NNP O
data NNS O
from IN O
Canino NNP O
, , O
Katy NNP O
, , O
and CC O
10 CD O
self-incompatible NN O
cultivars NNS O
detected VBD O
a DT O
358 CD O
bp NNP O
miniature JJ O
inverted-repeat VBN O
transposable JJ O
element NN O
( -LRB- O
MITE NNP O
) -RRB- O
insertion NN O
in IN O
ParM-7 NNP O
shared VBN O
only RB O
by IN O
self-compatible NN O
apricots NNS O
, , O
supporting VBG O
ParM-7 NN O
as RB O
strong JJ O
candidate NN O
gene NN O
required VBN O
for IN O
SI NNP O
. . O

ParM-7 VB O
encodes NNS O
a DT O
disulfide NN O
bond NN O
A-like NN O
oxidoreductase NN O
protein NN O
, , O
which WDT O
we PRP O
named VBD O
ParMDO NN O
. . O

The DT O
MITE NNP B-Gene
insertion NN B-Var
truncates VBZ B-NegReg
the DT O
ParMDO NNP B-MPA
ORF NNP I-MPA
and CC O
produces VBZ O
a DT O
loss NN B-NegReg
of IN O
SI NN B-MPA
function NN I-MPA
