LZTR1 NN O
is VBZ O
a DT O
regulator NN O
of IN O
RAS NNP O
ubiquitination NN O
and CC O
signaling NN O
. . O

In IN O
genetic JJ O
screens NNS O
aimed VBN O
at IN O
understanding VBG O
drug NN O
resistance NN O
mechanisms NNS O
in IN O
chronic JJ O
myeloid NN O
leukemia NN O
cells NNS O
, , O
inactivation NN B-Var
of IN O
the DT O
cullin NN O
3 CD O
adapter NN O
protein-encoding NN O
leucine NN B-Gene
zipper-like NN I-Gene
transcription NN I-Gene
regulator NN I-Gene
1 CD I-Gene
( -LRB- I-Gene
LZTR1 NN O
) -RRB- O
gene NN O
led VBD O
to IN O
enhanced VBN B-PosReg
mitogen-activated NN B-Pathway
protein NN I-Pathway
kinase NN I-Pathway
( -LRB- I-Pathway
MAPK NN I-Pathway
) -RRB- O
pathway NN O
activity NN B-MPA
and CC O
reduced VBN B-NegReg
sensitivity NN B-MPA
to TO I-MPA
tyrosine VB I-MPA
kinase NN I-MPA
inhibitors NNS I-MPA
. . O

Knockdown NNP O
of IN O
the DT O
Drosophila NNP O
LZTR1 NNP O
ortholog NN O
CG3711 NNP O
resulted VBD O
in IN O
a DT O
Ras-dependent NNP O
gain-of-function NN O
phenotype NN O
. . O

Endogenous JJ O
human JJ O
LZTR1 NN O
associates NNS O
with IN O
the DT O
main JJ O
RAS NNP O
isoforms NNS O
. . O

Inactivation NN B-Var
of IN O
LZTR1 NNP B-Gene
led VBD O
to IN O
decreased VBN B-NegReg
ubiquitination NN B-MPA
and CC O
enhanced JJ B-PosReg
plasma NN B-MPA
membrane JJ I-MPA
localization NN I-MPA
of IN I-MPA
endogenous JJ I-MPA
KRAS NNP I-MPA
