Mutational JJ O
and CC O
functional JJ O
studies NNS O
on IN O
NR5A1 NNP B-Gene
gene NN O
in IN O
46,XY CD B-Disease
disorders NNS I-Disease
of IN I-Disease
sex NN I-Disease
development NN I-Disease
: : O
identification NN O
of IN O
six CD O
novel JJ O
loss NN B-NegReg
of IN I-NegReg
function NN I-NegReg
mutations NNS B-Var
. . O

OBJECTIVE NN O
: : O
To TO O
study VB O
the DT O
functional JJ O
properties NNS O
of IN O
six CD O
novel JJ O
missense NN O
mutations NNS O
of IN O
the DT O
NR5A1 NNP O
gene NN O
encoding VBG O
the DT O
steroidogenic JJ O
factor NN O
1 CD O
( -LRB- O
SF-1 NNP O
) -RRB- O
identified VBN O
in IN O
six CD O
patients NNS O
with IN O
46,XY CD O
disorders NNS O
of IN O
sex NN O
development NN O
( -LRB- O
DSD NNP O
) -RRB- O
and CC O
to TO O
describe VB O
their PRP$ O
relative JJ O
phenotype-genotype NN O
relationship NN O
. . O

DESIGN NNP O
: : O
Genetic JJ O
and CC O
functional JJ O
studies NNS O
. . O

SETTING NNP O
: : O
University NNP O
department NN O
. . O

PATIENT(S NNP O
) -RRB- O
: : O
Six CD O
46,XY CD O
DSD NNP O
patients NNS O
. . O

INTERVENTION(S NN O
) -RRB- O
: : O
None NN O
. . O

MAIN NNP O
OUTCOME NNP O
MEASURE(S NNP O
) -RRB- O
: : O
Sanger NN O
sequencing NN O
and CC O
multiplex JJ O
ligation-dependent NN O
probe NN O
amplification NN O
analysis NN O
to TO O
identify VB O
the DT O
mutations NNS O
or CC O
deletions NNS O
/ SYM O
duplications NNS O
of IN O
the DT O
NR5A1 NNP O
gene NN O
. . O

Functional JJ O
studies NNS O
by IN O
transactivation NN O
assays NNS O
to TO O
predict VB O
the DT O
impact NN O
of IN O
mutations NNS O
on IN O
molecular JJ O
function NN O
. . O

RESULT(S NN O
) -RRB- O
: : O
NR5A1 NN B-Gene
exons NNS O
sequencing NN O
identified VBN B-Reg
in IN I-Reg
six CD O
46,XY CD B-Disease
DSD NNP I-Disease
patients NNS O
six CD O
novel JJ O
mutations NNS O
: : O
p LS B-Var
. . O

T40R NNS O
, , O
p NN B-Var
. . O

T47C NNP O
, , O
p NN B-Var
. . O

G328W NN O
, , O
p NN B-Var
. . O

A351E UH O
, , O
p NN B-Var
. . O

R427W NN O
, , O
and CC O
p LS B-Var
. . O

Q460R. NNP O
Five CD O
missense NN O
variants NNS O
were VBD O
heterozygous JJ O
, , O
and CC O
one CD O
was VBD O
homozygous JJ O
( -LRB- O
p NN O
. . O

R427W NN O
) -RRB- O
. . O

Functional JJ O
analysis NN O
revealed VBD O
a DT O
significant JJ O
loss NN B-NegReg
of IN O
DNA-binding NN B-Interaction
and CC O
transactivation NN B-MPA
ability NN O
for IN O
all DT O
variants NNS O
, , O
except IN O
for IN O
p NN O
. . O

Q460R NNP O
, , O
which WDT O
showed VBD O
a DT O
modest JJ O
reduced JJ O
activity NN O
compared VBN O
with IN O
that DT O
of IN O
the DT O
wild-type JJ O
protein NN O
. . O

Phenotypes NNS O
associated VBN O
with IN O
these DT O
mutations NNS O
varied VBN O
from IN O
males NNS O
with IN O
spontaneous JJ O
puberty NN O
, , O
substantial JJ O
T NNP O
production NN O
, , O
and CC O
possible JJ O
fertility NN O
, , O
to IN O
females NNS O
with IN O
and CC O
without IN O
b'm\xc3\xbcllerian' JJ O
structures NNS O
and CC O
primary JJ O
amenorrhea NN O
. . O

CONCLUSION(S NNP O
) -RRB- O
: : O
We PRP O
describe VBP O
six CD O
novel JJ O
mutations NNS B-Var
in IN O
NR5A1 NNP B-Gene
gene NN O
and CC O
showed VBD O
that IN O
they PRP O
might MD O
affect VB B-Reg
protein NN B-MPA
structure NN I-MPA
, , O
therefore RB O
compromising VBG B-NegReg
seriously RB O
the DT O
SF-1 NNP B-MPA
role NN O
in IN O
regulating VBG O
gonadal JJ B-CPA
development NN I-CPA
